sender_account,receiver_account,transaction_count,total_amount,average_amount
ACC100000,ACC100061,1,1959.66,1959.66
ACC100000,ACC100250,1,407.2,407.2
ACC100000,ACC100257,1,402.05,402.05
ACC100000,ACC100340,1,286.28,286.28
ACC100000,ACC100425,1,2009.2,2009.2
ACC100000,ACC100535,1,950.7,950.7
ACC100000,ACC100654,1,171.69,171.69
ACC100000,ACC100668,1,1194.56,1194.56
ACC100000,ACC100674,1,1798.45,1798.45
ACC100000,ACC100754,1,13876.0,13876.0
ACC100001,ACC100117,1,391.18,391.18
ACC100001,ACC100121,1,800.82,800.82
ACC100001,ACC100143,1,812.43,812.43
ACC100001,ACC100197,1,1335.8,1335.8
ACC100001,ACC100294,1,398.87,398.87
ACC100001,ACC100307,1,3855.36,3855.36
ACC100001,ACC100352,1,12879.73,12879.73
ACC100001,ACC100564,1,1076.54,1076.54
ACC100001,ACC100586,1,6307.57,6307.57
ACC100001,ACC100708,1,796.68,796.68
ACC100001,ACC100787,1,763.17,763.17
ACC100001,ACC100827,1,403.9,403.9
ACC100001,ACC100929,1,1433.26,1433.26
ACC100001,ACC100934,1,726.26,726.26
ACC100002,ACC100062,1,1591.47,1591.47
ACC100002,ACC100113,1,2089.82,2089.82
ACC100002,ACC100191,1,4771.0,4771.0
ACC100002,ACC100228,1,9296.02,9296.02
ACC100002,ACC100281,1,12485.0,12485.0
ACC100002,ACC100443,1,17251.6,17251.6
ACC100002,ACC100540,1,1390.63,1390.63
ACC100002,ACC100744,1,1397.33,1397.33
ACC100002,ACC100877,1,417.49,417.49
ACC100002,ACC100996,1,2763.14,2763.14
ACC100003,ACC100152,1,4346.16,4346.16
ACC100003,ACC100202,1,4327.0,4327.0
ACC100003,ACC100203,1,598.8,598.8
ACC100003,ACC100212,1,10720.66,10720.66
ACC100003,ACC100244,1,901.94,901.94
ACC100003,ACC100284,1,830.32,830.32
ACC100003,ACC100378,1,880.6,880.6
ACC100003,ACC100443,1,45.65,45.65
ACC100003,ACC100444,1,2171.77,2171.77
ACC100003,ACC100527,1,3492.91,3492.91
ACC100003,ACC100565,1,2054.99,2054.99
ACC100003,ACC100576,1,1900.41,1900.41
ACC100003,ACC100703,1,660.51,660.51
ACC100003,ACC100829,1,900.14,900.14
ACC100004,ACC100038,1,1218.33,1218.33
ACC100004,ACC100057,1,896.78,896.78
ACC100004,ACC100060,1,629.86,629.86
ACC100004,ACC100138,1,3875.01,3875.01
ACC100004,ACC100257,1,1170.7,1170.7
ACC100004,ACC100260,1,136.43,136.43
ACC100004,ACC100272,1,376.11,376.11
ACC100004,ACC100318,1,263.44,263.44
ACC100004,ACC100320,1,1468.79,1468.79
ACC100004,ACC100418,1,519.88,519.88
ACC100004,ACC100573,1,5722.68,5722.68
ACC100004,ACC100735,1,273.18,273.18
ACC100004,ACC100785,1,113.56,113.56
ACC100004,ACC100834,1,1757.28,1757.28
ACC100004,ACC100853,1,108.57,108.57
ACC100004,ACC100923,1,3829.25,3829.25
ACC100004,ACC100926,1,306.26,306.26
ACC100004,ACC100933,1,8454.6,8454.6
ACC100004,ACC100996,1,1227.84,1227.84
ACC100005,ACC100007,1,10542.69,10542.69
ACC100005,ACC100059,1,4626.57,4626.57
ACC100005,ACC100162,1,609.15,609.15
ACC100005,ACC100259,1,1252.61,1252.61
ACC100005,ACC100488,1,446.56,446.56
ACC100005,ACC100493,1,3608.52,3608.52
ACC100005,ACC100533,1,625.49,625.49
ACC100005,ACC100552,1,2921.33,2921.33
ACC100005,ACC100568,1,1086.51,1086.51
ACC100005,ACC100988,1,984.95,984.95
ACC100006,ACC100030,1,2860.74,2860.74
ACC100006,ACC100172,1,192.26,192.26
ACC100006,ACC100278,1,2336.64,2336.64
ACC100006,ACC100323,1,338.21,338.21
ACC100006,ACC100326,1,207.3,207.3
ACC100006,ACC100392,1,263.15,263.15
ACC100006,ACC100511,1,145.28,145.28
ACC100006,ACC100630,1,727.59,727.59
ACC100006,ACC100654,1,7741.0,7741.0
ACC100006,ACC100692,1,12697.0,12697.0
ACC100006,ACC100778,1,273.63,273.63
ACC100006,ACC100980,1,699.53,699.53
ACC100007,ACC100159,1,208.63,208.63
ACC100007,ACC100175,1,2680.81,2680.81
ACC100007,ACC100268,1,2957.14,2957.14
ACC100007,ACC100274,1,47.32,47.32
ACC100007,ACC100303,1,399.75,399.75
ACC100007,ACC100345,1,2624.38,2624.38
ACC100007,ACC100449,1,6556.1,6556.1
ACC100007,ACC100506,1,601.2,601.2
ACC100007,ACC100641,1,844.1,844.1
ACC100007,ACC100759,1,4235.0,4235.0
ACC100008,ACC100001,1,307.54,307.54
ACC100008,ACC100222,1,5758.9,5758.9
ACC100008,ACC100301,1,142.17,142.17
ACC100008,ACC100327,1,1264.58,1264.58
ACC100008,ACC100453,1,429.91,429.91
ACC100008,ACC100537,1,4207.86,4207.86
ACC100008,ACC100577,1,747.35,747.35
ACC100008,ACC100745,1,479.44,479.44
ACC100008,ACC100872,1,411.71,411.71
ACC100009,ACC100050,1,1349.6,1349.6
ACC100009,ACC100103,1,4643.17,4643.17
ACC100009,ACC100139,1,508.12,508.12
ACC100009,ACC100551,1,1893.09,1893.09
ACC100009,ACC100754,1,159.29,159.29
ACC100009,ACC100784,1,356.23,356.23
ACC100009,ACC100851,1,2871.07,2871.07
ACC100009,ACC100894,1,10800.6,10800.6
ACC100010,ACC100043,1,2381.49,2381.49
ACC100010,ACC100142,1,4928.94,4928.94
ACC100010,ACC100145,1,766.53,766.53
ACC100010,ACC100256,1,338.75,338.75
ACC100010,ACC100325,1,2615.71,2615.71
ACC100010,ACC100462,1,1056.39,1056.39
ACC100010,ACC100626,1,664.34,664.34
ACC100010,ACC100646,1,360.75,360.75
ACC100010,ACC100678,1,4596.35,4596.35
ACC100010,ACC100681,1,331.24,331.24
ACC100010,ACC100703,1,5968.69,5968.69
ACC100010,ACC100714,1,1581.41,1581.41
ACC100010,ACC100813,1,2423.76,2423.76
ACC100010,ACC100964,1,745.51,745.51
ACC100010,ACC100998,1,1225.16,1225.16
ACC100011,ACC100156,1,148.93,148.93
ACC100011,ACC100214,1,1235.11,1235.11
ACC100011,ACC100252,1,151.09,151.09
ACC100011,ACC100369,1,1094.49,1094.49
ACC100011,ACC100393,1,1514.48,1514.48
ACC100011,ACC100583,1,443.66,443.66
ACC100011,ACC100585,1,1444.69,1444.69
ACC100011,ACC100753,1,1399.79,1399.79
ACC100012,ACC100152,1,9943.62,9943.62
ACC100012,ACC100223,1,1324.03,1324.03
ACC100012,ACC100291,1,970.51,970.51
ACC100012,ACC100404,1,825.21,825.21
ACC100012,ACC100469,1,1959.94,1959.94
ACC100012,ACC100539,1,324.79,324.79
ACC100012,ACC100644,1,2205.28,2205.28
ACC100012,ACC100954,1,7849.28,7849.28
ACC100012,ACC100976,1,1151.38,1151.38
ACC100013,ACC100053,1,1275.63,1275.63
ACC100013,ACC100171,1,551.23,551.23
ACC100013,ACC100241,1,1840.96,1840.96
ACC100013,ACC100379,1,1356.18,1356.18
ACC100013,ACC100464,1,141.37,141.37
ACC100013,ACC100676,1,353.32,353.32
ACC100013,ACC100687,1,3273.62,3273.62
ACC100013,ACC100736,1,4820.82,4820.82
ACC100013,ACC100761,1,5587.17,5587.17
ACC100013,ACC100801,1,3271.61,3271.61
ACC100014,ACC100176,1,2053.57,2053.57
ACC100014,ACC100276,1,4020.66,4020.66
ACC100014,ACC100326,1,1356.06,1356.06
ACC100014,ACC100394,1,2484.0,2484.0
ACC100014,ACC100503,1,6188.25,6188.25
ACC100014,ACC100631,1,1006.53,1006.53
ACC100014,ACC100735,1,1759.34,1759.34
ACC100014,ACC100759,1,2004.92,2004.92
ACC100014,ACC100838,1,871.04,871.04
ACC100015,ACC100027,1,600.46,600.46
ACC100015,ACC100104,1,3285.27,3285.27
ACC100015,ACC100148,1,866.14,866.14
ACC100015,ACC100160,1,1219.27,1219.27
ACC100015,ACC100328,1,15215.71,15215.71
ACC100015,ACC100386,1,2255.09,2255.09
ACC100015,ACC100505,1,3743.47,3743.47
ACC100015,ACC100754,1,8089.89,8089.89
ACC100015,ACC100795,1,136.01,136.01
ACC100015,ACC100824,1,425.21,425.21
ACC100015,ACC100980,1,3718.51,3718.51
ACC100016,ACC100017,1,759.06,759.06
ACC100016,ACC100118,1,1173.4,1173.4
ACC100016,ACC100264,1,3050.7,3050.7
ACC100016,ACC100417,1,8663.7,8663.7
ACC100016,ACC100480,1,1815.79,1815.79
ACC100016,ACC100588,1,247.97,247.97
ACC100016,ACC100636,1,9936.89,9936.89
ACC100016,ACC100794,1,228.56,228.56
ACC100016,ACC100795,1,742.81,742.81
ACC100016,ACC100900,1,481.26,481.26
ACC100016,ACC100915,1,646.35,646.35
ACC100016,ACC100974,1,1118.63,1118.63
ACC100017,ACC100398,1,1065.15,1065.15
ACC100017,ACC100508,1,731.4,731.4
ACC100017,ACC100538,1,196.32,196.32
ACC100017,ACC100539,1,142.89,142.89
ACC100017,ACC100827,1,983.93,983.93
ACC100017,ACC100860,1,2853.77,2853.77
ACC100017,ACC100865,1,480.92,480.92
ACC100017,ACC100917,1,1911.73,1911.73
ACC100017,ACC100928,1,1092.02,1092.02
ACC100018,ACC100084,1,6200.2,6200.2
ACC100018,ACC100090,1,2133.18,2133.18
ACC100018,ACC100126,1,854.11,854.11
ACC100018,ACC100144,1,93.63,93.63
ACC100018,ACC100226,1,154.94,154.94
ACC100018,ACC100279,1,1057.61,1057.61
ACC100018,ACC100321,1,1222.17,1222.17
ACC100018,ACC100417,1,3155.36,3155.36
ACC100018,ACC100453,1,5478.21,5478.21
ACC100018,ACC100625,1,262.2,262.2
ACC100018,ACC100627,1,99.39,99.39
ACC100018,ACC100693,1,92.66,92.66
ACC100018,ACC100714,1,3931.38,3931.38
ACC100018,ACC100779,1,2853.46,2853.46
ACC100019,ACC100079,1,14994.69,14994.69
ACC100019,ACC100195,1,2991.84,2991.84
ACC100019,ACC100299,1,8605.17,8605.17
ACC100019,ACC100331,1,5671.42,5671.42
ACC100019,ACC100348,1,723.01,723.01
ACC100019,ACC100719,1,1018.44,1018.44
ACC100019,ACC100753,1,247.08,247.08
ACC100020,ACC100064,1,705.76,705.76
ACC100020,ACC100088,1,6241.58,6241.58
ACC100020,ACC100260,1,405.48,405.48
ACC100020,ACC100270,1,283.67,283.67
ACC100020,ACC100297,1,190.73,190.73
ACC100020,ACC100398,1,1158.81,1158.81
ACC100020,ACC100809,1,853.29,853.29
ACC100020,ACC100877,1,9876.03,9876.03
ACC100020,ACC100910,1,57.14,57.14
ACC100020,ACC100956,1,982.44,982.44
ACC100020,ACC100962,1,2801.06,2801.06
ACC100020,ACC100981,1,4743.54,4743.54
ACC100021,ACC100002,1,559.67,559.67
ACC100021,ACC100132,1,1987.97,1987.97
ACC100021,ACC100351,1,2780.51,2780.51
ACC100021,ACC100369,1,5254.04,5254.04
ACC100021,ACC100381,1,6003.17,6003.17
ACC100021,ACC100460,1,557.7,557.7
ACC100021,ACC100489,1,571.92,571.92
ACC100021,ACC100596,1,400.48,400.48
ACC100021,ACC100679,1,617.75,617.75
ACC100021,ACC100759,1,14032.0,14032.0
ACC100021,ACC100808,1,97.72,97.72
ACC100022,ACC100032,1,1523.55,1523.55
ACC100022,ACC100041,1,591.6,591.6
ACC100022,ACC100190,1,4537.34,4537.34
ACC100022,ACC100224,1,1955.4,1955.4
ACC100022,ACC100251,1,218.44,218.44
ACC100022,ACC100277,1,4030.69,4030.69
ACC100022,ACC100407,1,332.26,332.26
ACC100022,ACC100509,1,533.9,533.9
ACC100022,ACC100548,1,1013.06,1013.06
ACC100022,ACC100689,1,99.44,99.44
ACC100022,ACC100837,1,833.09,833.09
ACC100022,ACC100991,1,797.72,797.72
ACC100023,ACC100229,1,795.76,795.76
ACC100023,ACC100243,1,1747.22,1747.22
ACC100023,ACC100294,1,2002.8,2002.8
ACC100023,ACC100339,1,152.18,152.18
ACC100023,ACC100429,1,3645.37,3645.37
ACC100023,ACC100591,1,5029.18,5029.18
ACC100023,ACC100709,1,1062.29,1062.29
ACC100023,ACC100784,1,96.22,96.22
ACC100023,ACC100797,1,727.85,727.85
ACC100023,ACC100881,1,1323.79,1323.79
ACC100023,ACC100897,1,100.93,100.93
ACC100024,ACC100010,1,629.45,629.45
ACC100024,ACC100204,1,2334.62,2334.62
ACC100024,ACC100208,1,4859.15,4859.15
ACC100024,ACC100235,1,1234.17,1234.17
ACC100024,ACC100440,1,1445.74,1445.74
ACC100024,ACC100557,1,3087.4,3087.4
ACC100024,ACC100601,1,1567.87,1567.87
ACC100024,ACC100634,1,3831.96,3831.96
ACC100024,ACC100645,1,2544.25,2544.25
ACC100024,ACC100877,1,9995.19,9995.19
ACC100024,ACC100934,1,627.47,627.47
ACC100024,ACC100939,1,1031.95,1031.95
ACC100024,ACC100982,1,1398.1,1398.1
ACC100025,ACC100054,1,4863.13,4863.13
ACC100025,ACC100183,1,5895.11,5895.11
ACC100025,ACC100223,1,13086.0,13086.0
ACC100025,ACC100324,1,4754.37,4754.37
ACC100025,ACC100367,1,4550.71,4550.71
ACC100025,ACC100383,1,180.0,180.0
ACC100025,ACC100390,1,577.5,577.5
ACC100025,ACC100402,1,1462.25,1462.25
ACC100025,ACC100409,1,72702.33,72702.33
ACC100025,ACC100562,1,2910.52,2910.52
ACC100025,ACC100719,1,209.17,209.17
ACC100025,ACC100760,1,1788.6,1788.6
ACC100025,ACC100768,1,346.24,346.24
ACC100025,ACC100852,1,882.79,882.79
ACC100025,ACC100886,1,488.74,488.74
ACC100025,ACC100889,1,339.35,339.35
ACC100025,ACC100915,1,183.3,183.3
ACC100025,ACC100942,1,2225.5,2225.5
ACC100026,ACC100072,1,117.23,117.23
ACC100026,ACC100120,1,2221.34,2221.34
ACC100026,ACC100219,1,343.12,343.12
ACC100026,ACC100226,1,1357.41,1357.41
ACC100026,ACC100265,1,5367.87,5367.87
ACC100026,ACC100447,1,981.73,981.73
ACC100026,ACC100604,1,11431.0,11431.0
ACC100026,ACC100653,1,1503.87,1503.87
ACC100026,ACC100779,1,3615.83,3615.83
ACC100026,ACC100792,1,5640.67,5640.67
ACC100026,ACC100830,1,786.28,786.28
ACC100026,ACC100855,1,2181.65,2181.65
ACC100026,ACC100897,1,496.72,496.72
ACC100026,ACC100935,1,1195.38,1195.38
ACC100026,ACC100956,1,697.64,697.64
ACC100026,ACC100987,1,945.32,945.32
ACC100027,ACC100226,1,79258.27,79258.27
ACC100027,ACC100240,1,2272.7,2272.7
ACC100027,ACC100454,1,239.49,239.49
ACC100027,ACC100620,1,7635.41,7635.41
ACC100027,ACC100624,1,112.97,112.97
ACC100027,ACC100661,1,3861.69,3861.69
ACC100027,ACC100825,1,166.66,166.66
ACC100027,ACC100861,1,283.11,283.11
ACC100027,ACC100869,1,687.78,687.78
ACC100028,ACC100014,1,147.03,147.03
ACC100028,ACC100197,1,244.05,244.05
ACC100028,ACC100207,1,1029.56,1029.56
ACC100028,ACC100395,1,2317.12,2317.12
ACC100028,ACC100491,1,863.95,863.95
ACC100028,ACC100632,1,1776.13,1776.13
ACC100028,ACC100743,1,278.13,278.13
ACC100028,ACC100806,1,762.99,762.99
ACC100028,ACC100831,1,1903.16,1903.16
ACC100028,ACC100871,1,2698.21,2698.21
ACC100028,ACC100911,1,1049.6,1049.6
ACC100028,ACC100934,1,103.74,103.74
ACC100028,ACC100968,1,7365.14,7365.14
ACC100029,ACC100177,2,2412.42,1206.21
ACC100029,ACC100221,1,343.84,343.84
ACC100029,ACC100417,1,4484.9,4484.9
ACC100029,ACC100728,1,787.13,787.13
ACC100029,ACC100739,1,1810.9,1810.9
ACC100029,ACC100762,1,2019.09,2019.09
ACC100029,ACC100815,1,767.78,767.78
ACC100029,ACC100819,1,778.7,778.7
ACC100029,ACC100893,1,2106.11,2106.11
ACC100030,ACC100091,1,2083.42,2083.42
ACC100030,ACC100117,1,660.47,660.47
ACC100030,ACC100335,1,1187.15,1187.15
ACC100030,ACC100401,1,451.77,451.77
ACC100030,ACC100568,1,2968.92,2968.92
ACC100030,ACC100839,1,138.53,138.53
ACC100030,ACC100872,1,3680.77,3680.77
ACC100030,ACC100933,1,132780.66,132780.66
ACC100030,ACC100978,1,1615.11,1615.11
ACC100031,ACC100196,1,374.19,374.19
ACC100031,ACC100207,1,821.91,821.91
ACC100031,ACC100250,1,126.55,126.55
ACC100031,ACC100341,1,1990.48,1990.48
ACC100031,ACC100352,1,1162.87,1162.87
ACC100031,ACC100525,1,7829.52,7829.52
ACC100031,ACC100583,1,6812.92,6812.92
ACC100031,ACC100702,1,3815.9,3815.9
ACC100031,ACC100760,1,2986.45,2986.45
ACC100031,ACC100781,1,598.31,598.31
ACC100031,ACC100796,1,1740.88,1740.88
ACC100031,ACC100852,1,7237.01,7237.01
ACC100031,ACC100913,1,1469.03,1469.03
ACC100031,ACC100959,1,254.97,254.97
ACC100032,ACC100027,1,7640.0,7640.0
ACC100032,ACC100052,1,2764.46,2764.46
ACC100032,ACC100053,1,7377.48,7377.48
ACC100032,ACC100054,1,298.9,298.9
ACC100032,ACC100058,1,694.98,694.98
ACC100032,ACC100120,1,9046.21,9046.21
ACC100032,ACC100190,1,147.01,147.01
ACC100032,ACC100364,1,311.46,311.46
ACC100032,ACC100692,1,1288.0,1288.0
ACC100032,ACC100708,1,6447.03,6447.03
ACC100032,ACC100711,1,119930.61,119930.61
ACC100032,ACC100772,1,4765.38,4765.38
ACC100032,ACC100842,1,668.33,668.33
ACC100032,ACC100861,1,141.01,141.01
ACC100033,ACC100083,1,5869.95,5869.95
ACC100033,ACC100170,1,1044.97,1044.97
ACC100033,ACC100181,1,1818.25,1818.25
ACC100033,ACC100315,1,348.11,348.11
ACC100033,ACC100367,1,1684.18,1684.18
ACC100033,ACC100467,1,2907.57,2907.57
ACC100033,ACC100525,1,243.61,243.61
ACC100033,ACC100605,1,147.21,147.21
ACC100033,ACC100669,1,9030.38,9030.38
ACC100033,ACC100672,1,7440.79,7440.79
ACC100033,ACC100812,1,787.71,787.71
ACC100034,ACC100342,1,298.8,298.8
ACC100034,ACC100345,1,466.85,466.85
ACC100034,ACC100417,1,2515.44,2515.44
ACC100034,ACC100500,1,351.69,351.69
