account_id,account_age_days,customer_type,city,kyc_status,is_mule
ACC100000,870,Individual,Bengaluru,Verified,False
ACC100001,1304,Individual,Hyderabad,Verified,False
ACC100002,1140,Individual,Mumbai,Pending,False
ACC100003,1105,Individual,Bengaluru,Verified,False
ACC100004,1648,Individual,Hyderabad,Verified,False
ACC100005,2179,Individual,Kolkata,Verified,False
ACC100006,476,Business,Chennai,Verified,False
ACC100007,1248,Individual,Kolkata,Verified,False
ACC100008,340,Business,Delhi,Verified,False
ACC100009,1492,Business,Mumbai,Verified,False
ACC100010,2145,Business,Mumbai,Verified,False
ACC100011,140,Business,Chennai,Verified,False
ACC100012,1695,Business,Mumbai,Pending,False
ACC100013,779,Individual,Chennai,Verified,False
ACC100014,2401,Individual,Mumbai,Verified,False
ACC100015,1525,Individual,Chennai,Verified,False
ACC100016,2443,Individual,Mumbai,Pending,False
ACC100017,1225,Business,Ahmedabad,Verified,False
ACC100018,965,Individual,Pune,Verified,False
ACC100019,2334,Individual,Chennai,Verified,False
ACC100020,1194,Individual,Hyderabad,Verified,False
ACC100021,469,Business,Kolkata,Verified,False
ACC100022,31,Individual,Pune,Verified,False
ACC100023,2310,Individual,Bengaluru,Verified,False
ACC100024,757,Business,Chennai,Verified,False
ACC100025,484,Individual,Pune,Verified,True
ACC100026,1092,Business,Kolkata,Pending,False
ACC100027,2057,Individual,Chennai,Verified,True
ACC100028,985,Individual,Chennai,Pending,False
ACC100029,1816,Business,Pune,Verified,False
ACC100030,199,Individual,Ahmedabad,Verified,True
ACC100031,572,Individual,Mumbai,Verified,False
ACC100032,1909,Individual,Kolkata,Verified,True
ACC100033,1277,Business,Kolkata,Pending,False
ACC100034,1538,Business,Bengaluru,Verified,False
ACC100035,656,Business,Pune,Verified,False
ACC100036,2078,Business,Kolkata,Verified,False
ACC100037,2224,Business,Bengaluru,Verified,False
ACC100038,1307,Individual,Mumbai,Verified,False
ACC100039,2445,Individual,Delhi,Verified,False
ACC100040,610,Individual,Bengaluru,Verified,False
ACC100041,2373,Business,Bengaluru,Verified,False
ACC100042,2071,Business,Chennai,Verified,False
ACC100043,251,Individual,Hyderabad,Verified,False
ACC100044,2051,Individual,Ahmedabad,Verified,False
ACC100045,1373,Individual,Delhi,Pending,False
ACC100046,2149,Individual,Chennai,Pending,False
ACC100047,1400,Individual,Hyderabad,Verified,False
ACC100048,1488,Business,Pune,Pending,False
ACC100049,785,Business,Mumbai,Verified,False
ACC100050,44,Individual,Mumbai,Verified,False
ACC100051,2263,Individual,Hyderabad,Verified,False
ACC100052,1965,Individual,Mumbai,Verified,False
ACC100053,1595,Individual,Mumbai,Verified,False
ACC100054,1031,Business,Mumbai,Verified,False
ACC100055,1139,Business,Ahmedabad,Verified,False
ACC100056,1510,Individual,Ahmedabad,Verified,False
ACC100057,712,Business,Kolkata,Verified,False
ACC100058,2459,Individual,Mumbai,Pending,False
ACC100059,1589,Business,Kolkata,Pending,False
ACC100060,171,Business,Bengaluru,Verified,False
ACC100061,211,Individual,Kolkata,Verified,False
ACC100062,1991,Individual,Hyderabad,Verified,False
ACC100063,1005,Individual,Ahmedabad,Verified,False
ACC100064,2327,Business,Delhi,Verified,False
ACC100065,825,Business,Hyderabad,Verified,False
ACC100066,465,Business,Mumbai,Verified,False
ACC100067,1285,Individual,Mumbai,Verified,False
ACC100068,1026,Individual,Kolkata,Pending,False
