account_id,account_age_days,customer_type,city,kyc_status,is_mule,incoming_count,unique_senders,total_received,outgoing_count,unique_receivers,total_sent,transaction_velocity,unique_devices,risk_score,risk_level
ACC100733,1286,Business,Ahmedabad,Verified,True,18,18,111514.77,11,11,96094.95999999999,18,18,95,HIGH
ACC100718,2306,Individual,Kolkata,Verified,True,22,22,145675.92,15,15,174280.49,22,20,95,HIGH
ACC100711,2290,Individual,Bengaluru,Verified,False,17,17,153849.33000000002,19,19,64849.689999999995,17,16,95,HIGH
ACC100665,2155,Business,Kolkata,Verified,True,22,22,139766.63,14,13,216684.73,22,21,95,HIGH
ACC100654,772,Individual,Mumbai,Verified,True,24,23,173537.98,15,15,152825.44,24,23,95,HIGH
ACC100913,1264,Business,Chennai,Verified,True,28,28,159675.02,12,12,125590.09,28,28,95,HIGH
ACC100089,1708,Individual,Ahmedabad,Verified,True,18,18,129268.04000000001,17,17,129418.31,18,18,95,HIGH
ACC100250,347,Individual,Pune,Verified,True,22,22,148822.77,14,14,140965.51,22,21,95,HIGH
ACC100114,216,Business,Pune,Verified,True,19,19,133810.42,12,12,132467.51,19,17,95,HIGH
ACC100238,596,Business,Ahmedabad,Pending,True,24,24,133872.66,11,11,123633.36,24,23,95,HIGH
ACC100228,1193,Individual,Kolkata,Pending,True,20,20,102783.35,12,12,102652.05,20,20,95,HIGH
ACC100203,1544,Business,Pune,Verified,True,27,26,150959.17,14,14,103249.37,27,27,95,HIGH
ACC100398,2151,Individual,Pune,Verified,False,15,15,19299.88,11,11,28249.96,15,15,95,HIGH
ACC100030,199,Individual,Ahmedabad,Verified,True,25,25,185703.91999999998,9,9,145566.8,25,24,85,HIGH
ACC100027,2057,Individual,Chennai,Verified,True,22,22,105060.94,9,9,94518.08,22,21,85,HIGH
ACC100758,2085,Individual,Hyderabad,Verified,True,26,26,134049.53,6,6,122695.48999999999,26,24,85,HIGH
ACC100604,1834,Individual,Delhi,Pending,True,29,29,158759.03,8,7,142240.81,29,27,85,HIGH
ACC100558,824,Business,Pune,Verified,True,22,22,133680.74,8,8,101982.01,22,21,85,HIGH
ACC100104,2156,Individual,Hyderabad,Verified,True,24,24,119440.77,9,9,84360.44,24,24,85,HIGH
ACC100741,37,Individual,Kolkata,Verified,False,16,16,24800.24,12,12,60656.37,16,14,80,HIGH
ACC100327,45,Business,Kolkata,Verified,False,16,15,22667.12,12,12,25654.559999999998,16,15,80,HIGH
ACC100054,1031,Business,Mumbai,Verified,False,13,13,20866.08,15,15,32316.809999999998,13,12,80,HIGH
ACC100727,346,Business,Delhi,Pending,False,16,16,24070.14,15,15,46682.4,16,14,70,HIGH
ACC100704,1979,Individual,Hyderabad,Verified,False,20,20,36910.94,12,12,23745.809999999998,20,20,70,HIGH
ACC100682,1363,Business,Chennai,Verified,False,15,15,24322.420000000002,13,13,28295.1,15,15,70,HIGH
ACC100616,1643,Business,Mumbai,Verified,True,20,19,88922.73,11,11,69671.17,20,19,70,HIGH
ACC100608,1272,Individual,Pune,Verified,False,15,15,21758.65,12,11,25809.6,15,15,70,HIGH
ACC100400,967,Business,Mumbai,Verified,False,18,18,18014.5,12,12,40837.59,18,18,70,HIGH
ACC100414,2499,Business,Ahmedabad,Pending,False,15,15,20429.63,13,12,28236.6,15,15,70,HIGH
ACC100887,1873,Business,Delhi,Verified,False,21,20,31832.2,14,14,44644.64,21,21,70,HIGH
ACC100910,1322,Individual,Bengaluru,Pending,False,17,16,35217.26,15,15,15896.02,17,17,70,HIGH
ACC100569,1559,Individual,Kolkata,Verified,False,17,17,56360.89,14,14,34845.91,17,17,70,HIGH
ACC100574,1363,Business,Hyderabad,Verified,True,22,22,106342.51,13,13,103823.82,22,21,70,HIGH
ACC100588,1234,Business,Ahmedabad,Verified,False,15,14,22075.16,10,10,20405.28,15,15,70,HIGH
ACC100423,905,Individual,Pune,Verified,False,17,17,56006.5,10,10,14444.619999999999,17,17,70,HIGH
ACC100445,427,Business,Ahmedabad,Pending,False,20,20,54522.5,14,14,35237.08,20,20,70,HIGH
ACC100757,494,Business,Kolkata,Verified,False,19,19,47753.119999999995,15,14,21668.88,19,19,70,HIGH
ACC100025,484,Individual,Pune,Verified,True,16,16,103015.25,18,18,117445.61,16,16,70,HIGH
ACC100734,1725,Business,Mumbai,Verified,False,17,17,29861.02,13,13,31068.31,17,16,70,HIGH
ACC100646,447,Business,Mumbai,Verified,False,16,15,29001.260000000002,11,11,23502.66,16,16,70,HIGH
ACC100049,785,Business,Mumbai,Verified,False,18,17,32368.940000000002,11,11,48061.53,18,18,70,HIGH
ACC100702,102,Business,Bengaluru,Pending,False,18,18,63632.29,11,11,24668.86,18,17,70,HIGH
ACC100738,735,Individual,Pune,Pending,False,15,15,43266.38,12,12,25175.94,15,15,70,HIGH
ACC100032,1909,Individual,Kolkata,Verified,True,26,25,166552.89,14,14,161520.86,26,24,70,HIGH
ACC100801,929,Individual,Ahmedabad,Verified,False,12,12,25479.79,9,9,16729.67,12,12,70,HIGH
ACC100805,1765,Individual,Ahmedabad,Verified,False,17,17,45921.12,15,15,50085.46,17,17,70,HIGH
ACC100986,484,Individual,Hyderabad,Verified,False,15,15,23901.96,10,10,49938.01,15,15,70,HIGH
ACC100996,34,Individual,Ahmedabad,Verified,False,16,16,131774.21,8,8,14550.54,16,16,70,HIGH
ACC100145,1316,Business,Kolkata,Pending,False,17,17,21980.56,13,13,34484.24,17,15,70,HIGH
ACC100142,2247,Individual,Ahmedabad,Verified,True,15,15,110511.1,13,13,103857.63,15,15,70,HIGH
ACC100281,462,Business,Pune,Pending,True,21,21,176637.91,11,11,142541.0,21,21,70,HIGH
ACC100194,618,Business,Hyderabad,Verified,False,17,17,65006.26,14,14,41054.92,17,16,70,HIGH
ACC100197,1804,Individual,Hyderabad,Pending,False,16,16,53980.52,15,15,38111.57,16,16,70,HIGH
ACC100190,2337,Individual,Mumbai,Verified,False,17,17,47285.020000000004,11,11,12466.77,17,17,70,HIGH
