account_id,unique_senders,unique_receivers,incoming_count,outgoing_count,total_received,total_sent,pass_through_ratio,rapid_movements,network_risk_score,network_risk_level,network_risk_reasons
ACC100913,28,12,28,12,159675.02,125590.09,0.79,3,100,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Repeated rapid incoming-to-outgoing movement | Potential intermediary account
ACC100758,26,6,26,6,134049.53,122695.49,0.92,4,95,HIGH,10+ incoming counterparties | Multiple outgoing counterparties | High pass-through of received funds | Repeated rapid incoming-to-outgoing movement | Potential intermediary account
ACC100604,29,7,29,8,158759.03,142240.81,0.9,3,95,HIGH,10+ incoming counterparties | Multiple outgoing counterparties | High pass-through of received funds | Repeated rapid incoming-to-outgoing movement | Potential intermediary account
ACC100733,18,11,18,11,111514.77,96094.96,0.86,1,90,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100089,18,17,18,17,129268.04,129418.31,1.0,2,90,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100665,22,13,22,14,139766.63,216684.73,1.55,2,90,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100114,19,12,19,12,133810.42,132467.51,0.99,2,90,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100718,22,15,22,15,145675.92,174280.49,1.2,2,90,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100558,22,8,22,8,133680.74,101982.01,0.76,1,90,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100250,22,14,22,14,148822.77,140965.51,0.95,2,90,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100032,25,14,26,14,166552.89,161520.86,0.97,2,90,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100027,22,9,22,9,105060.94,94518.08,0.9,1,90,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100228,20,12,20,12,102783.35,102652.05,1.0,2,90,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100238,24,11,24,11,133872.66,123633.36,0.92,2,90,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100104,24,9,24,9,119440.77,84360.44,0.71,1,90,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100030,25,9,25,9,185703.92,145566.8,0.78,2,90,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100647,11,15,11,15,41107.33,41373.97,1.01,1,90,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100654,23,15,24,15,173537.98,152825.44,0.88,1,90,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Rapid incoming-to-outgoing movement | Potential intermediary account
ACC100618,11,14,11,15,50938.03,45411.83,0.89,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100699,14,11,14,11,40323.28,28283.82,0.7,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100679,13,13,14,13,35295.36,54085.95,1.53,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100006,13,12,13,12,33089.44,28482.33,0.86,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100118,13,10,13,10,38298.78,60869.77,1.59,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100574,22,13,22,13,106342.51,103823.82,0.98,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100854,14,11,14,11,32107.22,29849.59,0.93,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100135,17,9,17,9,33880.21,29352.63,0.87,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100877,15,10,15,10,39658.74,32121.42,0.81,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100952,13,16,13,16,30374.79,64075.11,2.11,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100002,13,10,13,10,57207.77,53453.5,0.93,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100937,13,13,13,13,43106.02,75750.66,1.76,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100181,11,12,11,12,34106.59,28226.91,0.83,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100222,11,15,11,15,31439.84,29589.14,0.94,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100735,11,17,11,17,54053.07,56718.51,1.05,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100720,10,13,10,13,35435.29,42106.4,1.19,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100861,11,10,11,10,35036.09,28857.94,0.82,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100183,10,16,11,16,38010.41,68556.44,1.8,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100142,15,13,15,13,110511.1,103857.63,0.94,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
ACC100641,13,13,13,13,30378.2,30971.2,1.02,0,80,HIGH,10+ incoming counterparties | 8+ outgoing counterparties | High pass-through of received funds | Potential intermediary account
