transaction_id,sender_account,receiver_account,amount,transaction_time,transaction_type,device_id
TXN1000000,ACC100909,ACC100384,463.14,2026-02-11 02:33:00,BANK_TRANSFER,DEV1047
TXN1000001,ACC100346,ACC100608,3252.13,2026-06-07 16:28:00,UPI,DEV1220
TXN1000002,ACC100965,ACC100669,489.33,2026-02-12 20:43:00,CARD,DEV1080
TXN1000003,ACC100054,ACC100103,499.63,2026-03-26 07:00:00,IMPS,DEV1209
TXN1000004,ACC100713,ACC100567,1871.47,2026-05-19 09:03:00,NEFT,DEV1152
TXN1000005,ACC100243,ACC100098,1115.5,2026-01-13 13:24:00,BANK_TRANSFER,DEV1281
TXN1000006,ACC100860,ACC100502,16847.91,2026-02-09 01:51:00,NEFT,DEV1001
TXN1000007,ACC100437,ACC100089,155.22,2026-03-17 22:35:00,BANK_TRANSFER,DEV1245
TXN1000008,ACC100204,ACC100099,1251.16,2026-01-07 07:03:00,IMPS,DEV1149
TXN1000009,ACC100083,ACC100484,4253.85,2026-01-30 10:31:00,CARD,DEV1241
TXN1000010,ACC100500,ACC100916,547.86,2026-06-19 09:02:00,UPI,DEV1278
TXN1000011,ACC100396,ACC100189,367.72,2026-04-05 13:01:00,NEFT,DEV1095
TXN1000012,ACC100456,ACC100045,385.66,2026-03-09 15:00:00,CARD,DEV1134
TXN1000013,ACC100231,ACC100857,158.48,2026-03-10 19:15:00,UPI,DEV1077
TXN1000014,ACC100770,ACC100713,5539.42,2026-06-20 03:18:00,UPI,DEV1176
TXN1000015,ACC100827,ACC100554,738.38,2026-04-16 20:07:00,IMPS,DEV1283
TXN1000016,ACC100062,ACC100860,640.58,2026-04-10 17:50:00,CARD,DEV1274
TXN1000017,ACC100703,ACC100887,85.72,2026-05-02 19:32:00,IMPS,DEV1243
TXN1000018,ACC100306,ACC100080,196.28,2026-04-12 01:11:00,BANK_TRANSFER,DEV1292
TXN1000019,ACC100922,ACC100529,6364.35,2026-05-27 23:07:00,BANK_TRANSFER,DEV1075
TXN1000020,ACC100123,ACC100972,1577.71,2026-04-25 05:54:00,IMPS,DEV1108
TXN1000021,ACC100827,ACC100197,4446.18,2026-02-02 01:27:00,CARD,DEV1040
TXN1000022,ACC100699,ACC100445,3819.94,2026-02-21 21:24:00,IMPS,DEV1132
TXN1000023,ACC100327,ACC100932,330.05,2026-01-18 02:58:00,CARD,DEV1284
TXN1000024,ACC100406,ACC100565,20248.12,2026-03-25 09:25:00,BANK_TRANSFER,DEV1234
TXN1000025,ACC100939,ACC100894,11380.76,2026-01-04 23:54:00,BANK_TRANSFER,DEV1300
TXN1000026,ACC100535,ACC100800,557.51,2026-04-18 03:50:00,CARD,DEV1076
TXN1000027,ACC100151,ACC100580,15.15,2026-05-31 19:53:00,UPI,DEV1054
TXN1000028,ACC100576,ACC100798,714.91,2026-01-26 09:45:00,BANK_TRANSFER,DEV1176
TXN1000029,ACC100898,ACC100420,1459.66,2026-03-09 13:04:00,CARD,DEV1292
TXN1000030,ACC100623,ACC100484,554.87,2026-01-10 05:52:00,NEFT,DEV1206
TXN1000031,ACC100147,ACC100633,840.65,2026-06-05 23:14:00,CARD,DEV1019
TXN1000032,ACC100405,ACC100910,405.7,2026-03-26 23:34:00,IMPS,DEV1025
TXN1000033,ACC100763,ACC100486,3314.17,2026-03-10 12:42:00,UPI,DEV1172
TXN1000034,ACC100837,ACC100812,1183.65,2026-03-19 10:36:00,NEFT,DEV1251
TXN1000035,ACC100878,ACC100712,3435.15,2026-06-25 03:21:00,IMPS,DEV1068
TXN1000036,ACC100307,ACC100997,4753.54,2026-04-24 10:57:00,NEFT,DEV1213
TXN1000037,ACC100619,ACC100661,80.71,2026-01-23 06:24:00,CARD,DEV1108
TXN1000038,ACC100935,ACC100843,435.01,2026-04-15 16:32:00,BANK_TRANSFER,DEV1191
TXN1000039,ACC100840,ACC100057,518.62,2026-05-12 05:25:00,UPI,DEV1159
TXN1000040,ACC100726,ACC100518,23996.11,2026-04-14 04:37:00,BANK_TRANSFER,DEV1291
TXN1000041,ACC100029,ACC100177,1311.34,2026-02-19 06:51:00,UPI,DEV1127
TXN1000042,ACC100033,ACC100467,2907.57,2026-01-13 12:18:00,IMPS,DEV1140
TXN1000043,ACC100377,ACC100843,114.8,2026-04-29 17:14:00,CARD,DEV1063
TXN1000044,ACC100697,ACC100031,1302.26,2026-03-03 12:42:00,CARD,DEV1228
TXN1000045,ACC100181,ACC100983,3547.33,2026-05-02 20:01:00,BANK_TRANSFER,DEV1179
TXN1000046,ACC100352,ACC100167,3085.16,2026-03-08 23:30:00,UPI,DEV1145
TXN1000047,ACC100028,ACC100395,2317.12,2026-01-13 05:33:00,BANK_TRANSFER,DEV1109
TXN1000048,ACC100877,ACC100226,1113.88,2026-06-15 07:41:00,IMPS,DEV1137
TXN1000049,ACC100667,ACC100419,1180.72,2026-05-12 00:41:00,UPI,DEV1242
TXN1000050,ACC100933,ACC100135,143.75,2026-06-15 05:54:00,BANK_TRANSFER,DEV1004
TXN1000051,ACC100229,ACC100258,372.17,2026-06-05 10:25:00,NEFT,DEV1216
TXN1000052,ACC100916,ACC100385,1446.83,2026-03-31 15:40:00,NEFT,DEV1111
TXN1000053,ACC100477,ACC100309,464.44,2026-06-23 17:46:00,BANK_TRANSFER,DEV1203
TXN1000054,ACC100598,ACC100104,2506.41,2026-01-02 17:27:00,NEFT,DEV1287
TXN1000055,ACC100662,ACC100608,1920.11,2026-06-05 09:38:00,NEFT,DEV1055
TXN1000056,ACC100493,ACC100065,5658.1,2026-03-28 09:26:00,NEFT,DEV1141
TXN1000057,ACC100267,ACC100671,3463.05,2026-06-16 10:11:00,IMPS,DEV1076
